"examiner_id","gender","race","tenure_days","ISSUED_applications","abandoned_applications","au_moves","tc_moves","PEN_applications","separation_indicator","num_classes","num_subclasses","avg_ISS_processing","avg_ABN_processing"
67520,"male","Hispanic",1408,49,6,0,0,0,1,7,45,912.836734693878,758
67538,"female","white",6199,131,58,0,0,0,1,51,146,1089.09923664122,818.155172413793
67581,"male","white",5777,22,75,21,0,0.0285714285714286,1,68,93,1186.04545454545,1059.53333333333
67583,"male","Asian",854,1,0,0,0,0,1,1,1,874,NA
67587,"male","white",4962,86,82,13,0,0.263157894736842,0,41,154,1454.08139534884,1315.56097560976
67605,"male","white",6087,24,1,0,0,0,1,6,22,1511.875,1169
67621,"female","Asian",859,0,1,0,0,0,1,1,1,NA,859
67628,"male","Asian",4448,118,37,0,0,0,1,37,144,1263.44915254237,1223.18918918919
67636,"female","white",6084,52,17,0,0,0.0714285714285714,1,32,56,938.961538461538,621.529411764706
67660,"female","white",3391,4,20,0,0,0,1,9,24,1570.75,1168.35
67669,"male","white",6258,196,128,87,0,0.102040816326531,1,124,249,1001.31632653061,1143.21875
67706,"male","white",3549,20,16,0,0,0,1,9,34,1240.9,995.8125
67762,"female","white",6280,394,112,0,0,0,1,41,400,1021.72842639594,830.857142857143
67801,"male","white",4446,101,54,31,0,0,1,29,135,1537.23762376238,1412.87037037037
67815,"male","white",1499,5,4,0,0,0,1,7,9,1226.2,974.25
67821,"unknown","white",5840,51,82,4,0,0,1,67,103,1397.96078431373,1138.31707317073
67836,"male","white",5946,277,11,0,0,0,1,39,188,626.805054151625,585
67846,"female","Asian",5628,60,34,13,0,0,1,25,83,1017.85,1065.35294117647
67856,"male","white",6154,54,7,4,0,0,1,19,55,809.259259259259,594.285714285714
67858,"male","white",6175,51,88,0,0,0,1,16,119,1110.54901960784,974.977272727273
67890,"male","white",5082,20,2,0,0,0,1,6,19,506.55,301
67896,"male","white",5922,17,30,19,0,0,1,13,38,1621.05882352941,1129.46666666667
67899,"female","Hispanic",696,1,0,0,0,0,1,1,1,714,NA
67902,"unknown","white",5519,66,34,0,0,0,1,53,92,797.924242424242,863
67918,"male","white",637,0,1,0,0,0,1,1,1,NA,508
67925,"female","white",486,3,0,0,0,0,1,2,3,426.666666666667,NA
67927,"male","Asian",1111,4,1,0,0,0,1,2,5,889.25,659
67979,"male","white",5967,209,66,0,0,0.0714285714285714,1,33,118,593.641148325359,436
68003,"male","white",1409,1,2,0,0,0,1,3,3,1429,1076
68007,"male","Asian",4056,16,1,0,0,0,1,5,12,1001.75,812
68061,"unknown","Asian",1000,1,0,0,0,0,1,1,1,1020,NA
68071,"female","black",1592,0,13,0,0,0,1,6,13,NA,1209.84615384615
68102,"male","white",5964,2,1,0,0,0,1,3,3,1551.5,1259
68108,"male","white",2701,94,25,0,0,0,1,55,114,706.382978723404,689.64
68152,"male","white",4313,109,28,0,0,0,1,29,84,1669.51376146789,1564.21428571429
68204,"male","Asian",2165,1,14,0,0,0,1,11,13,1259,1108.78571428571
68237,"male","white",4676,44,34,31,0,0,1,17,63,1450.81818181818,1335.02941176471
68252,"male","white",2808,7,1,5,0,0,1,5,8,1113.57142857143,978
68263,"male","white",2708,1,1,0,0,0,1,2,2,1218,760
68271,"unknown","white",4746,12,12,8,0,0,1,11,22,1336.91666666667,1340.41666666667
68284,"male","white",1766,5,0,0,0,0,1,4,5,1399,NA
68287,"male","white",3773,33,51,25,0,0.05,1,20,68,1990.51515151515,1440.6862745098
68301,"female","white",314,1,0,0,0,0,1,1,1,333,NA
